row_order,section,label_level,label,total_estimate,total_margin_of_error,total_percent_estimate,total_percent_margin_of_error,male_estimate,male_margin_of_error,male_percent_estimate,male_percent_margin_of_error,female_estimate,female_margin_of_error,female_percent_estimate,female_percent_margin_of_error,source_file
2,AGE BY EDUCATIONAL ATTAINMENT,1,Population 18 to 24 years,31270959,48363,,,16005442,29069,,,15265517,26562,,,ACSST1Y2024.S1501-2026-03-07T044644.csv
3,AGE BY EDUCATIONAL ATTAINMENT,2,Less than high school graduate,3632499,40085,11.6,0.1,2125547,28119,13.3,0.2,1506952,25140,9.9,0.2,ACSST1Y2024.S1501-2026-03-07T044644.csv
4,AGE BY EDUCATIONAL ATTAINMENT,2,High school graduate (includes equivalency),11667747,56186,37.3,0.2,6495842,40053,40.6,0.3,5171905,36851,33.9,0.2,ACSST1Y2024.S1501-2026-03-07T044644.csv
5,AGE BY EDUCATIONAL ATTAINMENT,2,Some college or associate's degree,11683751,64854,37.4,0.2,5577018,42939,34.8,0.2,6106733,43759,40.0,0.3,ACSST1Y2024.S1501-2026-03-07T044644.csv
6,AGE BY EDUCATIONAL ATTAINMENT,2,Bachelor's degree or higher,4286962,47528,13.7,0.2,1807035,26655,11.3,0.2,2479927,33373,16.2,0.2,ACSST1Y2024.S1501-2026-03-07T044644.csv
7,AGE BY EDUCATIONAL ATTAINMENT,1,Population 25 years and over,235910719,69861,,,114933273,40292,,,120977446,38971,,,ACSST1Y2024.S1501-2026-03-07T044644.csv
8,AGE BY EDUCATIONAL ATTAINMENT,2,Less than 9th grade,10908872,89392,4.6,0.1,5569008,55910,4.8,0.1,5339864,50534,4.4,0.1,ACSST1Y2024.S1501-2026-03-07T044644.csv
9,AGE BY EDUCATIONAL ATTAINMENT,2,"9th to 12th grade, no diploma",12868166,98665,5.5,0.1,6945221,61860,6.0,0.1,5922945,52918,4.9,0.1,ACSST1Y2024.S1501-2026-03-07T044644.csv
10,AGE BY EDUCATIONAL ATTAINMENT,2,High school graduate (includes equivalency),60698932,181262,25.7,0.1,31431978,110426,27.3,0.1,29266954,104126,24.2,0.1,ACSST1Y2024.S1501-2026-03-07T044644.csv
11,AGE BY EDUCATIONAL ATTAINMENT,2,"Some college, no degree",43653533,119821,18.5,0.1,21257595,77689,18.5,0.1,22395938,81871,18.5,0.1,ACSST1Y2024.S1501-2026-03-07T044644.csv
